"Code_bib","nom_de_l_etablissement","Adresse","code_departement","Département","CP","Ville","code_insee_commune","Population.commune","Longitude","Latitude","Statut","type_adresse","site_internet","Amplitude.horaire","nombre_de_places","nb_postes_informatiques_publics","ouverture_le_dimanche","connexion_wi_fi","Surface","nombre_de_livres","nombre_de_cd","nombre_de_dvd","nombre_d_emprunteurs","nombre_d_entrees","nombre_de_prets","depenses_action_culturelle","depenses_documentaires","etp_salaries","Nombre.de.salariés","gratuite_des_services","nombre_actions_culturelles","pop_touchee_actions_culturelles"
"LI4400","Bibliotheque Sudel Fuma","RUE DE LA CHEMINEE","974","La Réunion",97424,"Saint-Leu","97413",35366,55.305284,-21.215612,"Bibliothèque municipale","Bâtiment ouvert","www.mediatheque-saintleu.re",39,95,5,"Non","Oui",546,27047,3737,0,287,22059.6666666667,15125,12437,0,8.58,12,"Non",118,1730
"LI10344","Bibliotheque Maurice-Fontaine","150 CHEMIN CONDE CONCESSION","974","La Réunion",97432,"Saint-Pierre","97416",84950,55.502452,-21.293887,"Bibliothèque municipale","Bâtiment ouvert","mediatheque.saintpierre.re",39,15,0,"Non","Non",166,29923.125,NA,NA,974.545454545455,22059.6666666667,25170.03125,12283.1875,19914.52,NA,NA,"Oui",NA,NA
"LI10346","Médiathèque du Tampon centre-ville","16 rue Victor le Vigoureux","974","La Réunion",97430,"Le Tampon","97422",82868,55.518986,-21.280701,"Bibliothèque municipale","Bâtiment ouvert",NA,NA,NA,NA,NA,NA,NA,29923.125,NA,NA,974.545454545455,22059.6666666667,25170.03125,12283.1875,19914.52,NA,NA,NA,NA,NA
"LI6329","Bibliothèque du Bas De La Riviere","41 rue de la république","974","La Réunion",97400,"Saint-Denis","97411",156282,55.446505,-20.879631,"Bibliothèque municipale","Bâtiment ouvert","lecturepublique.cinor.org",20,10,1,"Non","Non",100,16562,0,1229,330,22059.6666666667,10407,12283.1875,19914.52,3,3,"Oui",34,460
"LI20214","Bibliobus","Saint-Pierre","974","La Réunion",97410,"Saint-Pierre","97416",84950,55.498253,-21.294116,"Bibliothèque municipale","Bibliobus",NA,12,0,0,"Non","Non",9,29923.125,NA,NA,974.545454545455,22059.6666666667,25170.03125,12283.1875,19914.52,NA,NA,"Oui",NA,NA
"LI4388","Bibliotheque Municipale","6 RUE LOUIS CHABRIER","974","La Réunion",97427,"L'Étang-Salé","97404",14030,55.360959,-21.258439,"Bibliothèque municipale","Bâtiment ouvert",NA,30,45,0,"Non","Non",448,29923.125,0,0,974.545454545455,22059.6666666667,0,14957,12270,NA,10,"Oui",1118,3094
"LI4389","Bibliotheque Municipale de Petite-Ile","178 RUE MAHE DE LABOURDONNAIS","974","La Réunion",97429,"Petite-Île","97405",12772,55.564399,-21.35518,"Bibliothèque municipale","Bâtiment ouvert","MairiePetite-ile@petite-ille.re",20,50,8,"Non","Non",425,27112,262,257,1667,6745,18214,5000,14651,8,8,"Oui",50,50
"LI4394","Mediatheque","601 RUE DE LA GARE","974","La Réunion",97440,"Saint-André","97409",57626,55.655005,-20.960393,"Bibliothèque municipale","Bâtiment ouvert",NA,41,210,2,"Non","Oui",2140,54819,7016,2390,1199,22059.6666666667,32576,44085,45580,18,18,"Non",28,980
"LI6322","Bibliothèque Annexe De Palmiste Rouge","RUE ELIARD TECHER","974","La Réunion",97413,"Cilaos","97424",5437,55.474447,-21.168729,"Bibliothèque municipale","Bâtiment ouvert",NA,NA,NA,NA,NA,NA,NA,29923.125,NA,NA,974.545454545455,22059.6666666667,25170.03125,12283.1875,19914.52,NA,NA,NA,NA,NA
"LI6335","Bibliothèque Relais Des Lianes","2 Rue Des Ecoliers","974","La Réunion",97480,"Saint-Joseph","97412",39365,55.603885,-21.347416,"Bibliothèque municipale","Bâtiment ouvert",NA,NA,NA,NA,NA,NA,NA,29923.125,NA,NA,974.545454545455,22059.6666666667,25170.03125,12283.1875,19914.52,NA,NA,NA,NA,NA
"LI10342","Bibliotheque Jules-Volia","28 Rue Youri Gagarine","974","La Réunion",97410,"Saint-Pierre","97416",84950,55.477967,-21.327676,"Bibliothèque municipale","Bâtiment ouvert","mediatheque.saintpierre.re",39,20,1,"Non","Non",223,29923.125,NA,NA,974.545454545455,22059.6666666667,25170.03125,12283.1875,19914.52,NA,NA,"Oui",NA,NA
"LI6323","Bibliothèque Annexe De Ravine Du Pont","38 CHEMIN LEPINAY","974","La Réunion",97429,"Petite-Île","97405",12772,55.559242,-21.341054,"Bibliothèque municipale","Bâtiment ouvert","MairiePetite-ile",12,30,2,"Non","Non",60,5515,0,0,97,97,3642,12283.1875,19914.52,2,2,"Oui",3,50
"LI10345","Bibliotheque Jules-Hermann","105 RUE AMIRAL LACAZE","974","La Réunion",97410,"Saint-Pierre","97416",84950,55.481722,-21.347535,"Bibliothèque municipale","Bâtiment ouvert","https://mediatheque.saintpierre.re/",40,15,0,"Non","Non",96,4824,41,182,176,22059.6666666667,25170.03125,12283.1875,19914.52,NA,NA,"Oui",NA,NA
"LI6321","Bibliothèque Annexe De Bras Sec","48 CHEMIN SAUL","974","La Réunion",97413,"Cilaos","97424",5437,55.490419,-21.141215,"Bibliothèque municipale","Bâtiment ouvert",NA,NA,NA,NA,NA,NA,NA,29923.125,NA,NA,974.545454545455,22059.6666666667,25170.03125,12283.1875,19914.52,NA,NA,NA,NA,NA
"LI6333","Bibliotheque du Chaudron","2 rue jean berthot","974","La Réunion",97490,"Saint-Denis","97411",156282,55.487758,-20.892107,"Bibliothèque municipale","Bâtiment ouvert","lecturepublique.cinor.org",29,20,4,"Non","Non",250,15733,175,926,404,22059.6666666667,8812,12283.1875,0,3,3,"Oui",19,750
"LI10343","Bibliotheque Leconte De Lisle","1 CHEMIN ROLAND GARROS","974","La Réunion",97410,"Saint-Pierre","97416",84950,55.525584,-21.330944,"Bibliothèque municipale","Bâtiment ouvert","mediatheque.saintpierre.re",39,10,1,"Non","Non",170,29923.125,NA,NA,974.545454545455,22059.6666666667,25170.03125,12283.1875,19914.52,NA,NA,"Oui",NA,NA
"LI4409","Réseau de Lecture Publique de la Ville du Tampon","16 Rue Victor le Vigoureux","974","La Réunion",97430,"Le Tampon","97422",82868,55.518398,-21.280867,"Bibliothèque municipale","Lieu uniquement administratif",NA,NA,NA,NA,NA,NA,NA,29923.125,NA,NA,974.545454545455,22059.6666666667,25170.03125,12283.1875,19914.52,NA,NA,NA,NA,NA
"LI4396","Médiathèque FRANCOIS MITTERRAND","11 RUE DE L'EUROPE","974","La Réunion",97400,"Saint-Denis","97411",156282,55.468942,-20.895224,"Bibliothèque municipale","Bâtiment ouvert","lecturepublique.cinor.org",42,100,17,"Oui","Oui",4133,146414,18411,9382,5244,22059.6666666667,194225,12283.1875,19914.52,38,38,"Oui",313,21485
"LI6350","Médiathèque de Bourg-Murat","17 Rue Alfred Picard","974","La Réunion",97418,"Le Tampon","97422",82868,55.578591,-21.204244,"Bibliothèque municipale","Bâtiment ouvert",NA,NA,NA,NA,NA,NA,NA,29923.125,NA,NA,974.545454545455,22059.6666666667,25170.03125,12283.1875,19914.52,NA,NA,NA,NA,NA
"LI4386","Bibliothèque Municipale","4 RUE DES ECOLES","974","La Réunion",97413,"Cilaos","97424",5437,55.472358,-21.13358,"Bibliothèque municipale","Bâtiment ouvert",NA,NA,NA,NA,NA,NA,NA,29923.125,NA,NA,974.545454545455,22059.6666666667,25170.03125,12283.1875,19914.52,NA,NA,NA,NA,NA
"LI4395","Mediatheque Municipale","18 RUE MONTFLEURY","974","La Réunion",97470,"Saint-Benoît","97410",37301,55.711363,-21.03439,"Bibliothèque municipale","Bâtiment ouvert","https://www.saint-benoit.re/page/193-mediatheques",40,NA,7,"Non","Oui",NA,22348,NA,NA,3381,7762,43145,12283.1875,7360,NA,NA,"Oui",NA,NA
"LI6326","Bibliotheque De La Riviere Des Galets","5 RUE LOUISE MICHEL","974","La Réunion",97420,"Le Port","97407",33595,55.320292,-20.962696,"Bibliothèque municipale","Bâtiment ouvert",NA,32,41,2,"Non","Oui",284,12572,1583,767,91,2981,6511,12283.1875,19914.52,6.55,7,"Non",18,410
"LI14285","Médiathèque de Bras-Fusil","4 Rue Le Corbusier","974","La Réunion",97470,"Saint-Benoît","97410",37301,55.712672,-21.05234,"Bibliothèque municipale","Bâtiment ouvert","https://www.saint-benoit.re/page/193-mediatheques",40,61,9,"Non","Oui",627,29923.125,NA,NA,974.545454545455,8648,25170.03125,12283.1875,7221,NA,NA,"Oui",6,NA
"LI4385","MEDIATHEQUE JEAN BERNARD","60 Rue Du stade","974","La Réunion",97425,"Les Avirons","97401",11661,55.331596,-21.241276,"Bibliothèque municipale","Bâtiment ouvert",NA,NA,NA,NA,NA,NA,NA,29923.125,NA,NA,974.545454545455,22059.6666666667,25170.03125,12283.1875,19914.52,NA,NA,NA,NA,NA
"LI4475","Mediatheque Municipale De Bras-Panon","ROUTE NATIONALE 2","974","La Réunion",97412,"Bras-Panon","97402",13559,55.677226,-20.997841,"Bibliothèque municipale","Bâtiment ouvert",NA,31,36,2,"Non","Non",300,8000,0,0,200,1800,4205,0,1800,4,4,"Non",35,350
"LI4403","Bibliotheque Municipale","24 G RUE LECONTE DE LISLE","974","La Réunion",97442,"Saint-Philippe","97417",5139,55.762721,-21.361078,"Bibliothèque municipale","Bâtiment ouvert",NA,45,30,NA,"Non","Oui",NA,29923.125,NA,NA,974.545454545455,22059.6666666667,25170.03125,12283.1875,19914.52,0,0,"Oui",735,435
"LI6339","Bibliothèque Relais De Jacques Payet","181 Rue Claude Marion","974","La Réunion",97480,"Saint-Joseph","97412",39365,55.681937,-21.344256,"Bibliothèque municipale","Bâtiment ouvert",NA,NA,NA,NA,NA,NA,NA,29923.125,NA,NA,974.545454545455,22059.6666666667,25170.03125,12283.1875,19914.52,NA,NA,NA,NA,NA
"LI15638","Médiathèque-Numérithèque de La Châtoire","4 Avenue d'Allemagne ZAC Badré","974","La Réunion",97430,"Le Tampon","97422",82868,55.503587,-21.277214,"Bibliothèque municipale","Bâtiment ouvert",NA,NA,NA,NA,NA,NA,NA,29923.125,NA,NA,974.545454545455,22059.6666666667,25170.03125,12283.1875,19914.52,NA,NA,NA,NA,NA
"LI15654","Médiabus","16 Rue Victor le Vigoureux","974","La Réunion",97430,"Le Tampon","97422",82868,55.518398,-21.280867,"Bibliothèque municipale","Bâtiment ouvert",NA,NA,NA,NA,NA,NA,NA,29923.125,NA,NA,974.545454545455,22059.6666666667,25170.03125,12283.1875,19914.52,NA,NA,NA,NA,NA
"LI4410","Bibliotheque Municipale","2 rue Général de Gaulle","974","La Réunion",97426,"Les Trois-Bassins","97423",6989,55.295111,-21.105686,"Bibliothèque municipale","Bâtiment ouvert",NA,36,80,14,"Non","Oui",594,21405,629,966,619,8099,0,25930,0,5,5,"Non",1104,1846
